0.0000	0.0000	0.0000	-0.81743	0.26366	"-78,283"	"-20,490"			
"10,000"	0.0000	"10,000"	0.52544	0.12264	"-65,015"	"-17,018"			
"20,000"	0.0000	"20,000"	0.23345	0.50894	"-71,649"	"-18,754"			
"30,000"	0.0000	"30,000"	-0.87598	"11,589"	"-65,015"	"-17,018"			
"40,000"	0.0000	"40,000"	0.93415	-0.0091895	"-71,649"	"-18,754"			
"50,000"	0.0000	"50,000"	"15,763"	0.36792	"-35,507"	"82,000"			
"60,000"	0.0000	"60,000"	"24,523"	-0.79098	"-35,507"	"82,000"			
"70,000"	0.0000	"70,000"	"12,261"	-0.39549	"-35,507"	"82,000"			
"80,000"	0.0000	"80,000"	"11,676"	0.49975	"-51,083"	"72,356"			
"90,000"	0.0000	"90,000"	0.64216	0.37711	"-54,524"	"51,325"			
"10,000"	0.0000	"10,000"	0.40872	-0.13183	"-62,354"	"36,000"			
"11,000"	0.0000	"11,000"	0.52544	0.12264	"-22,084"	"51,000"			
"12,000"	0.0000	"12,000"	"12,843"	0.75422	"-12,144"	"40,377"			
"13,000"	0.0000	"13,000"	0.11672	0.25447	-0.69177	"43,226"			
"14,000"	0.0000	"14,000"	"10,509"	0.24528	0.76696	"39,068"			
"15,000"	0.0000	"15,000"	0.11672	0.25447	"23,883"	0.62513			
"16,000"	0.0000	"16,000"	-0.70071	0.51813	"23,250"	"-26,847"			
"17,000"	0.0000	"17,000"	"-12,261"	0.39549	"17,257"	"-30,529"			
"18,000"	0.0000	"18,000"	-0.81743	0.26366	"12,144"	"-40,377"			
"19,000"	0.0000	"19,000"	-0.29199	0.38630	"12,144"	"-40,377"			
"20,000"	0.0000	"20,000"	-0.81743	0.26366	0.54138	"-33,829"			
"21,000"	0.0000	"21,000"	-0.11672	-0.25447	"-11,258"	"-13,000"			
"22,000"	0.0000	"22,000"	0.0000	0.0000	"-15,588"	"36,000"			
"23,000"	0.0000	"23,000"	-0.11672	-0.25447	"-38,250"	"44,167"			
"24,000"	"10,000"	0.0000	0.17527	-0.64077	"-48,614"	"36,639"	-0.32108	"-63,448"	0.80742
"25,000"	"10,000"	"10,000"	0.17527	-0.64077	"-46,386"	"43,665"	0.35035	"-55,701"	"13,324"
"26,000"	"10,000"	"20,000"	0.29199	-0.38630	"-43,496"	"32,782"	0.26272	"-57,573"	0.70141
"27,000"	"10,000"	"30,000"	"22,770"	-0.15021	"-48,614"	"36,639"	0.70052	"-56,814"	0.98107
"28,000"	"10,000"	"40,000"	"18,683"	-0.018379	"-52,878"	"39,853"	"14,012"	"-62,263"	"10,549"
"29,000"	"10,000"	"50,000"	-0.11672	-0.25447	"-52,878"	"21,205"	0.72980	"-44,192"	"51,603"
"30,000"	"10,000"	"60,000"	-0.81743	0.26366	"-33,366"	0.71196	0.81743	"-34,436"	"44,560"
"31,000"	"10,000"	"70,000"	-0.52544	-0.12264	"-12,144"	"40,377"	0.35035	"-23,826"	"61,189"
"32,000"	"10,000"	"80,000"	0.75888	0.63158	"15,588"	"18,000"	0.96324	"-17,747"	"45,178"
"33,000"	"10,000"	"90,000"	-0.70071	0.51813	0.62202	"13,499"	-0.029273	"-24,152"	"32,412"
"34,000"	"10,000"	"10,000"	-0.87598	"11,589"	"13,423"	"15,500"	-0.23363	"-24,465"	"25,750"
"35,000"	"10,000"	"11,000"	-0.99270	0.90443	"17,249"	0.45149	-0.23363	-0.24174	"27,757"
"36,000"	"10,000"	"12,000"	"-18,101"	"11,681"	"34,968"	"-14,023"	-0.26290	"11,412"	"13,177"
"37,000"	"10,000"	"13,000"	"-28,610"	0.92281	"54,524"	"-51,325"	"-13,721"	"23,803"	-0.40496
"38,000"	"10,000"	"14,000"	"-18,683"	0.018379	"15,588"	"-36,000"	-0.40872	"11,629"	0.15341
"39,000"	"10,000"	"15,000"	"-21,018"	-0.49056	"24,682"	"-57,000"	-0.99252	"24,282"	"-25,374"
"40,000"	"10,000"	"16,000"	-0.52544	-0.12264	"18,364"	"-61,058"	-0.61307	"20,807"	"-43,952"
"41,000"	"10,000"	"17,000"	-0.35017	-0.76341	"21,326"	"-70,906"	-0.78816	"19,292"	"-50,718"
"42,000"	"10,000"	"18,000"	"-11,091"	"-13,950"	"18,364"	"-61,058"	-0.96324	"15,254"	"-50,718"
"43,000"	"10,000"	"19,000"	-0.11672	-0.25447	"22,084"	"-51,000"	-0.20436	"17,114"	"-45,689"
"44,000"	"10,000"	"20,000"	-0.11672	-0.25447	0.76696	"-47,924"	-0.46708	0.65417	"-40,877"
"45,000"	"10,000"	"21,000"	"-13,429"	0.14102	-0.69177	"-35,238"	-0.72980	-0.90880	"-24,119"
"46,000"	"10,000"	"22,000"	-0.11672	-0.25447	-5.77E-12	"-35,507"	-0.058361	-0.77942	0.024648
"47,000"	"10,000"	"23,000"	"-42,621"	-0.085883	"11,258"	"13,000"	"-21,894"	"-13,496"	"28,584"
